Country,Viewer Age Group,Viewer Gender,Viewer Percent
Indonesia,35-44,m,100.0
Indonesia,55-64,f,0.0
Indonesia,65-,f,0.0
Indonesia,25-34,m,0.0
Indonesia,25-34,f,0.0
Indonesia,55-64,m,0.0
Indonesia,45-54,f,0.0
Indonesia,35-44,f,0.0
Indonesia,18-24,f,0.0
Indonesia,65-,m,0.0
Indonesia,45-54,m,0.0
Indonesia,18-24,m,0.0
Indonesia,13-17,m,0.0
Hungary,55-64,f,0.0
Hungary,65-,f,0.0
Hungary,25-34,m,0.0
Hungary,25-34,f,0.0
Hungary,55-64,m,0.0
Hungary,45-54,f,0.0
Hungary,35-44,f,0.0
Hungary,18-24,f,0.0
Hungary,65-,m,0.0
Hungary,35-44,m,0.0
Hungary,45-54,m,0.0
Hungary,18-24,m,0.0
Hungary,13-17,m,0.0
Israel,55-64,f,0.0
Israel,65-,f,0.0
Israel,25-34,m,0.0
Israel,25-34,f,0.0
Israel,55-64,m,0.0
Israel,45-54,f,0.0
Israel,35-44,f,0.0
Israel,18-24,f,0.0
Israel,65-,m,0.0
Israel,35-44,m,0.0
Israel,45-54,m,0.0
Israel,18-24,m,0.0
Israel,13-17,m,0.0
Morocco,55-64,f,0.0
Morocco,65-,f,0.0
Morocco,25-34,m,0.0
Morocco,25-34,f,0.0
Morocco,55-64,m,0.0
Morocco,45-54,f,0.0
Morocco,35-44,f,0.0
Morocco,18-24,f,0.0
Morocco,65-,m,0.0
Morocco,35-44,m,0.0
Morocco,45-54,m,0.0
Morocco,18-24,m,0.0
Morocco,13-17,m,0.0
